NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SCHLUMBERGER,AN8068571086,,,,45.63,38.22,28.43,28.74,44.83,50.63,46.37,48.06,46.49,44.29,51.12,49.01,57.07,55.5,69.43,68.12,71.38,71.32,71.02,77.28,76.14,74.04
ALUAR,ARALUA010258,,,,,,,,,,,,,,,,,,,13.39,10.77,13.69,13.88,15.6,14.29,28.84
BANCO BBVA ARGENTINA,ARP125991090,,,,,,,,,,,,,,,,,,42.63,61.57,76.33,77.4,72.25,83.24,80.37,81.2
TERNIUM ARGENTINA SOCIEDAD ANONIMA,ARSIDE010029,,,,,,,,,,,,,,,,,,41.27,45.71,45.15,44.16,43.86,43.77,46.04,59.77
STRABAG SE,AT000000STR1,,,,,,,,,33.51,42.33,36.21,43.29,46.29,43.1,42.63,50.04,51.45,53.53,63.88,70.02,69.13,67.1,70.65,69.79,67.15
FLUGHAFEN WIEN,AT00000VIE62,,,,,52.79,51.85,28.62,28.01,17.12,23.99,29.82,27.66,33.82,37.96,36.99,34.32,38.18,38.01,54.21,50.15,51.03,47.44,44.7,45.81,38.75
RAIFFEISEN BANK INTL.,AT0000606306,,,,,,,31.11,47.18,40.73,42.61,39.21,46.78,52.03,41.61,41.14,41.43,42.22,49.6,51.58,62.74,66.4,69.56,62.61,71.95,72.51
ERSTE GROUP BANK,AT0000652011,,,,29.67,24.3,34.71,37.83,29.2,39.02,36.72,40.17,32.84,38.33,45.36,40.43,52.8,51.01,50.82,69.39,83.17,84.08,80.61,78.37,75.64,71.13
TELEKOM AUSTRIA,AT0000720008,,,,,,,35.39,27.48,57.67,69.35,67.94,61.78,69.31,73.48,74.14,59.85,62.55,54.42,54.65,60.19,55.39,59.35,56.59,61.37,69.85
ANDRITZ,AT0000730007,,,,55.35,43.62,48.74,32.2,31.04,32.03,30.08,29.69,53.97,39.09,42.43,42.77,51.38,48.98,57.43,64.35,71.34,73.06,76.43,73.78,72.44,78.31
OMV,AT0000743059,,,,66.63,68.64,75.86,65.36,64.69,64.99,74.42,75.5,80.03,76.41,81.34,80.76,75.68,76.48,79.64,77.62,77.0,77.94,81.3,83.82,83.8,84.0
VERBUND,AT0000746409,,,,,,,29.49,41.38,41.27,60.91,58.48,63.07,60.45,61.99,62.81,64.11,68.84,73.07,69.72,68.01,74.25,73.34,74.09,69.2,62.39
WIENERBERGER,AT0000831706,,,,34.4,39.04,43.91,46.13,34.04,51.22,41.72,51.88,56.46,53.85,56.05,52.01,55.6,66.76,63.24,64.28,72.42,71.15,65.88,71.43,74.43,74.39
VIENNA INSURANCE GROUP A,AT0000908504,,,,,,15.58,35.76,19.99,17.27,39.16,52.15,43.91,38.46,39.11,44.49,42.06,44.51,56.65,59.18,61.51,57.51,66.29,66.22,67.89,69.24
VOESTALPINE,AT0000937503,,,,18.57,38.46,29.41,8.34,13.01,16.9,15.89,32.18,40.7,45.93,41.55,45.01,50.29,52.44,67.8,58.92,61.35,61.68,70.18,64.79,64.31,57.9
MAYR-MELNHOF KARTON,AT0000938204,,,,,,20.91,24.19,33.07,26.84,27.99,24.13,21.99,37.82,36.43,35.14,34.79,36.1,35.17,37.45,39.31,42.69,48.01,53.4,59.55,66.0
IMMOFINANZ,AT0000A21KS2,,,,17.33,10.22,15.72,14.23,9.65,19.41,8.41,6.24,21.88,22.43,31.97,35.69,37.09,30.98,33.43,49.44,56.91,51.43,51.61,57.72,58.03,58.48
ADBRI DEAD - DELIST.02/07/24,AU000000ABC7,,,,,,,,,,41.49,46.36,56.85,53.36,55.67,53.04,55.0,51.49,51.98,51.45,53.41,54.31,52.52,53.14,57.6,
ARISTOCRAT LEISURE,AU000000ALL7,,,,,,25.12,32.53,43.43,38.36,26.33,38.53,36.56,33.02,27.9,34.49,40.4,38.0,40.5,40.33,41.27,49.03,47.41,51.61,53.35,61.95
AMP,AU000000AMP6,,,,,,31.46,40.38,36.32,58.35,62.5,69.81,72.24,69.35,65.33,72.16,72.81,64.36,70.21,76.25,73.13,72.75,64.85,66.47,77.39,82.14
ANSELL,AU000000ANN9,,,,,,30.29,29.46,32.27,39.52,40.9,45.26,55.19,55.27,49.17,52.42,57.61,58.15,63.65,69.09,75.22,73.38,80.05,76.42,75.61,80.82
ANZ GROUP HOLDINGS,AU000000ANZ3,,,,36.54,51.35,60.15,66.94,76.63,81.31,82.23,88.03,93.01,90.52,88.53,90.1,91.15,87.11,89.95,89.37,87.79,86.71,85.44,86.36,81.31,86.4
APA GROUP,AU000000APA1,,,,,,,,,,,37.66,41.91,46.49,43.51,39.09,34.31,27.1,37.25,34.72,34.13,43.17,41.03,57.4,58.86,54.22
ASX,AU000000ASX7,,,,,,41.95,33.86,48.87,32.88,50.2,51.7,56.17,53.23,51.58,59.49,60.0,60.69,56.43,60.17,57.8,57.56,52.81,57.44,52.61,56.41
BENDIGO & ADELAIDE BANK,AU000000BEN6,,,,,,,36.18,37.23,27.19,40.2,50.83,58.71,58.46,67.97,65.3,61.28,59.39,59.64,63.77,56.98,54.4,60.94,65.03,65.63,
BHP GROUP,AU000000BHP4,,,,55.89,66.75,82.12,65.24,60.43,84.31,81.76,84.56,85.99,86.59,86.81,85.76,88.43,90.17,90.22,89.59,89.18,87.39,89.68,87.98,88.44,84.4
