NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SCHLUMBERGER,AN8068571086,,,,53.65,23.33,0.0,0.0,40.7,62.87,62.9,65.99,53.17,55.02,64.03,64.75,75.71,71.54,73.65,85.28,81.96,80.74,79.07,88.53,86.85,82.05
ALUAR,ARALUA010258,,,,,,,,,,,,,,,,,,,15.82,13.26,12.26,11.05,13.19,12.21,17.65
BANCO BBVA ARGENTINA,ARP125991090,,,,,,,,,,,,,,,,,,51.51,56.64,76.16,84.68,82.48,88.36,86.99,79.68
TERNIUM ARGENTINA SOCIEDAD ANONIMA,ARSIDE010029,,,,,,,,,,,,,,,,,,32.51,33.47,33.72,33.41,33.52,38.37,36.83,48.05
STRABAG SE,AT000000STR1,,,,,,,,,3.81,22.87,30.9,44.29,58.66,49.97,50.09,48.69,55.55,56.98,58.9,64.85,62.56,59.32,59.27,65.77,59.45
FLUGHAFEN WIEN,AT00000VIE62,,,,,18.31,27.55,10.48,4.84,1.31,23.14,31.84,28.27,31.09,30.45,27.17,34.81,51.84,47.48,78.01,77.5,72.33,73.36,75.05,76.81,68.64
RAIFFEISEN BANK INTL.,AT0000606306,,,,,,,25.56,23.63,18.32,41.52,37.08,66.61,66.05,66.84,68.68,73.75,75.14,82.52,83.02,82.03,82.56,80.49,79.99,79.13,76.48
ERSTE GROUP BANK,AT0000652011,,,,27.08,24.6,25.81,25.56,30.64,54.81,61.22,74.29,70.81,84.47,83.02,83.81,79.57,81.98,83.86,87.21,88.22,88.51,88.72,86.49,88.38,85.24
TELEKOM AUSTRIA,AT0000720008,,,,,,,19.97,23.83,37.76,77.76,85.48,78.31,75.08,66.94,71.34,73.61,73.82,62.69,63.11,63.43,64.39,64.84,64.87,63.2,77.01
ANDRITZ,AT0000730007,,,,70.16,35.72,58.85,3.99,18.49,24.67,21.1,45.53,50.59,43.91,53.18,54.31,62.49,67.44,70.0,73.19,68.78,79.24,78.41,82.03,79.45,78.92
OMV,AT0000743059,,,,39.09,40.61,52.51,42.24,35.97,34.03,52.86,64.66,63.4,72.96,76.24,72.37,61.29,61.11,66.68,66.01,65.32,67.39,75.48,77.57,76.81,76.35
VERBUND,AT0000746409,,,,,,,18.94,13.52,38.47,73.42,67.51,76.45,74.23,72.24,81.88,83.45,85.74,91.43,90.66,90.07,92.15,91.4,88.3,87.32,87.1
WIENERBERGER,AT0000831706,,,,35.25,54.09,28.99,35.85,17.29,48.45,34.94,58.72,61.92,63.01,62.76,67.09,72.18,78.38,79.53,75.04,86.04,82.46,73.6,70.94,67.4,66.77
VIENNA INSURANCE GROUP A,AT0000908504,,,,,,28.33,27.21,26.86,22.98,49.1,46.46,47.6,21.13,20.27,20.88,20.71,21.92,57.39,60.34,56.87,56.8,76.0,76.87,79.83,77.25
VOESTALPINE,AT0000937503,,,,1.94,22.12,0.0,5.89,14.73,30.04,18.56,44.29,45.0,59.22,58.59,57.29,59.23,55.62,67.11,61.41,64.14,68.87,69.14,68.42,69.05,67.17
MAYR-MELNHOF KARTON,AT0000938204,,,,,,10.87,21.52,25.43,21.4,19.09,18.81,14.62,27.47,22.78,25.77,25.29,20.57,28.66,30.36,28.69,28.25,33.05,40.89,41.06,52.1
IMMOFINANZ,AT0000A21KS2,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.04,13.24,19.84,24.99,19.84,23.57,31.13,33.06,51.98,37.59,46.22,48.06,81.25,82.63
ADBRI DEAD - DELIST.02/07/24,AU000000ABC7,,,,,,,,,,43.15,38.27,65.91,60.1,59.57,61.76,61.56,58.22,56.38,58.51,55.19,54.63,57.11,61.61,67.87,
ARISTOCRAT LEISURE,AU000000ALL7,,,,,,0.0,0.0,0.0,0.0,5.43,4.61,4.66,9.76,9.91,11.26,17.13,20.09,22.76,24.08,22.97,49.95,51.89,50.99,50.15,66.85
AMP,AU000000AMP6,,,,,,26.48,31.19,29.56,48.45,67.49,72.72,70.11,72.3,69.26,71.54,79.77,76.99,81.01,84.32,83.72,85.62,92.03,90.57,91.94,91.95
ANSELL,AU000000ANN9,,,,,,0.0,0.81,0.81,17.31,28.99,22.76,26.92,24.31,14.62,15.22,13.68,20.05,23.29,24.42,38.49,37.53,48.25,49.63,50.78,70.09
ANZ GROUP HOLDINGS,AU000000ANZ3,,,,46.45,68.78,79.12,84.83,88.22,86.67,80.15,87.25,93.43,93.99,92.02,93.77,92.18,80.95,83.99,84.96,83.93,85.59,83.88,83.97,83.09,81.32
APA GROUP,AU000000APA1,,,,,,,,,,,36.74,33.89,33.72,31.94,23.14,8.35,1.43,23.65,24.38,19.94,40.78,36.76,48.77,49.21,46.41
ASX,AU000000ASX7,,,,,,26.48,26.3,26.68,22.44,21.83,43.35,28.9,24.15,26.05,35.4,46.76,45.4,47.4,48.21,46.62,43.97,45.09,40.37,45.33,40.03
BENDIGO & ADELAIDE BANK,AU000000BEN6,,,,,,,27.21,25.04,19.48,52.1,52.75,59.43,58.57,52.94,48.92,48.48,61.0,64.54,75.34,73.65,73.09,75.91,78.06,84.14,
BHP GROUP,AU000000BHP4,,,,71.61,79.63,79.56,68.05,64.75,87.25,86.22,81.03,82.61,83.62,85.19,83.78,85.7,85.96,85.97,84.81,85.5,84.75,84.37,80.95,82.49,76.79
BORAL DEAD - DELIST.08/07/24,AU000000BLD2,,,,,,30.47,45.41,56.8,65.1,79.27,89.5,73.87,73.67,70.45,51.38,45.77,48.55,51.5,56.31,61.38,80.16,76.74,81.61,75.31,
BANK OF QLND.,AU000000BOQ8,,,,,,,,,,,31.2,30.1,33.54,30.58,30.75,30.62,36.67,41.07,40.66,61.67,58.74,68.6,67.22,69.35,68.77
BEACH ENERGY,AU000000BPT9,,,,,,,,,,,2.26,7.7,23.73,25.2,32.34,40.03,22.15,35.31,37.06,41.41,41.09,38.39,43.04,37.94,37.19
BLUESCOPE STEEL,AU000000BSL0,,,,,,7.39,29.78,23.43,32.69,44.05,46.91,58.61,57.79,60.49,60.32,60.37,57.15,59.82,68.18,63.96,68.35,63.76,63.26,62.98,62.26
BWP TRUST,AU000000BWP3,,,,,,,,,,,30.35,26.36,60.42,62.87,59.0,31.56,35.62,43.69,41.74,42.56,38.22,38.69,26.02,27.16,24.23
COMMONWEALTH BK.OF AUS.,AU000000CBA7,,,,40.07,69.83,74.37,73.72,71.34,56.56,55.09,69.8,85.7,81.68,86.22,88.63,89.39,91.3,91.04,93.14,92.32,92.28,91.59,94.31,95.53,94.74
CHALLENGER,AU000000CGF5,,,,,,28.33,27.21,26.86,22.98,22.5,21.6,26.4,24.08,23.78,24.55,24.75,29.58,32.48,58.58,57.19,54.94,52.53,37.52,33.87,31.76
CIMIC GROUP DEAD - DELIST.11/05/22,AU000000CIM7,,,,,,0.0,0.71,34.27,35.2,49.5,38.32,32.03,35.73,38.69,39.3,39.55,41.81,43.25,47.73,54.95,52.51,55.11,59.03,,
COCHLEAR,AU000000COH5,,,,,,0.0,0.0,0.0,26.31,25.01,6.27,3.32,2.13,2.68,2.98,7.76,15.0,15.24,21.63,42.04,52.04,41.11,42.81,45.65,46.28
COMPUTERSHARE,AU000000CPU5,,,,,,0.0,0.0,0.0,14.63,29.11,31.26,33.2,30.83,33.31,27.19,26.07,23.09,23.46,35.74,33.26,38.36,37.76,36.96,36.57,30.1
CHARTER HALL RETAIL REIT,AU000000CQR9,,,,,,,,,,,13.27,32.39,44.57,53.26,52.08,45.33,48.31,54.03,57.76,60.68,62.24,55.68,59.42,53.16,55.03
CSL,AU000000CSL8,,,,,,0.0,17.54,10.58,5.52,24.23,36.76,38.61,51.32,49.14,48.88,43.23,54.25,47.88,41.98,41.44,38.73,38.99,39.18,40.91,41.11
CSR DEAD - DEAD.10/07/24,AU000000CSR5,,,,,,,0.0,17.92,24.04,49.94,57.05,54.43,46.93,43.99,46.66,43.24,47.94,53.79,47.71,58.31,68.01,63.32,63.99,63.88,60.46
CLEANAWAY WASTE MANAGEMENT,AU000000CWY3,,,,,,,,,,,14.91,20.44,28.23,27.81,30.28,28.3,34.17,32.85,30.45,29.18,30.59,45.62,45.66,46.19,49.71
DOWNER EDI,AU000000DOW2,,,,,,0.0,0.0,0.0,1.32,20.43,53.14,61.94,58.72,54.98,54.75,56.65,63.37,69.21,64.38,63.4,63.61,69.09,69.93,71.7,70.74
DEXUS STAPLED UNITS,AU000000DXS1,,,,,,,20.77,63.91,61.24,73.2,77.43,78.78,84.49,76.4,79.2,76.83,77.95,86.6,84.32,85.69,72.1,74.15,83.63,77.52,74.25
ELDERS,AU000000ELD6,,,,,,0.0,0.0,0.0,4.45,1.49,3.21,0.51,5.68,6.65,7.17,6.52,1.57,2.74,2.37,8.77,11.66,29.56,32.65,20.7,21.54
ENERGY RES.OF AUS.,AU000000ERA9,,,,,,,,,,62.5,66.25,75.0,77.5,60.0,39.58,39.58,39.58,27.08,16.67,27.08,48.96,57.5,34.09,33.97,
FLIGHT CENTRE TRAVEL GP.,AU000000FLT9,,,,,,,,,,,0.0,0.0,6.32,7.23,7.31,10.88,14.99,16.5,17.68,37.8,50.37,43.94,,42.81,56.29
GOODMAN GROUP,AU000000GMG2,,,,,,,8.23,0.0,0.0,0.0,16.06,24.57,31.01,54.23,22.34,14.86,11.68,45.37,22.87,52.74,41.73,58.79,57.99,61.34,59.08
