NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
SCHLUMBERGER,AN8068571086,26510.16,36839.55,36789.65,33673.83,24126.45,38121.86,44536.09,69952.88,76840.94,106715.9,45650.86,73053.25,126261.1,106571.4,101596.2,120649.6,107203.4,90821.31,111738.8,92484.88,61412.43,39396.07,39025.69,55748.16,76576.56,69573.94
ALUAR,ARALUA010258,897.03,1395.6,1209.73,891.24,978.01,1632.57,1521.94,1455.21,1922.31,2422.21,721.39,1762.24,2710.44,1596.33,1364.95,1303.27,2793.29,1938.53,1832.5,2055.43,1363.92,1248.96,1446.35,2397.51,2846.46,2981.02
BANCO BBVA ARGENTINA,ARP125991090,948.87,1831.07,2002.05,326.08,606.79,1108.47,1167.06,1168.05,1959.09,1228.82,377.75,1091.07,2130.14,1201.15,1187.34,1632.76,4093.58,4129.86,3217.96,4895.15,2395.35,1152.81,933.73,1305.78,1918.71,1698.29
TERNIUM ARGENTINA SOCIEDAD ANONIMA,ARSIDE010029,510.97,1505.34,913.87,430.89,769.11,1997.42,2686.26,3033.98,2569.27,2858.24,903.79,2093.45,2673.67,1891.48,1551.49,2062.6,3530.33,2455.1,3102.62,3417.42,1725.54,1592.99,2619.96,5223.62,5647.76,4653.3
STRABAG SE,AT000000STR1,,,,,,,,,,7210.31,1511.68,2808.25,3198.79,3537.67,2809.25,3117.6,2722.79,2878.09,4005.15,4358.85,3823.24,3352.51,4018.99,4349.93,4044.92,4871.01
FLUGHAFEN WIEN,AT00000VIE62,664.72,572.9,770.26,602.81,736.52,1173.62,1592.66,1678.7,2104.66,2406.42,602.45,962.4,1381.75,791.48,1243.49,1892.22,1827.54,1850.39,2325.15,3560.81,3425.24,2975.37,3181.21,2635.59,3076.99,4557.67
RAIFFEISEN BANK INTL.,AT0000606306,,,,,,,,12132.97,21115.2,20715.84,2883.15,6965.75,11636.82,6967.13,7298.16,10560.82,4398.93,3851.19,6539.83,12836.48,8324.3,7291.05,6715.83,6310.85,5336.37,6774.94
ERSTE GROUP BANK,AT0000652011,2091.69,1858.42,2560.91,2846.67,3962.98,8355.7,12929.31,18591.11,24125.32,18705.63,3132.56,14256.8,19551.46,9732.67,11915.39,17093.39,11289.53,11315.83,12673.81,20337.12,15182.52,15392.09,14237.31,17081.51,15585.33,18156.99
TELEKOM AUSTRIA,AT0000720008,,,985.43,1413.97,5163.74,7283.92,9760.38,11679.17,13222.45,11808.85,5835.81,5822.16,6321.79,5248.42,2785.05,4480.27,4679.34,3782.91,4173.15,6099.09,5041.83,5198.42,5073.45,5514.98,4945.28,5559.59
ANDRITZ,AT0000730007,,,,222.5,297.41,612.06,1134.42,1728.91,2944.76,2969.31,1591.24,2959.34,4330.83,5263.87,7037.23,6246.14,6064.11,4919.99,5417.33,6120.94,5315.73,3640.85,5014.19,4792.9,6314.62,6889.89
OMV,AT0000743059,2489.92,2273.91,2144.25,2403.0,2862.72,4439.65,10208.83,19797.63,17266.56,21608.64,7925.58,11136.4,12886.67,12711.52,14071.73,15314.83,9297.38,8503.83,12485.14,19334.09,17173.88,14053.05,15834.52,16952.23,16252.26,14326.46
VERBUND,AT0000746409,2420.64,1788.51,1761.66,1176.79,1368.98,2203.79,3545.6,6739.5,6772.11,10769.77,4813.81,6162.47,6541.32,5161.26,3596.33,3594.54,3235.53,1883.36,2769.88,4622.61,8117.16,8486.19,13059.31,19603.72,14194.27,12118.32
WIENERBERGER,AT0000831706,1715.66,1332.5,1483.54,1094.01,1106.0,1994.37,3755.5,3465.75,4688.51,4097.73,703.23,2014.57,2422.83,1459.32,1155.39,2136.28,1855.54,2080.4,2280.59,2878.02,2706.57,3206.49,3870.18,3554.55,3498.05,3896.89
VIENNA INSURANCE GROUP A,AT0000908504,157.47,145.36,141.84,132.18,160.71,286.7,429.89,6648.76,7882.11,8852.17,3128.62,6182.23,7359.24,5729.86,6390.48,6478.75,5567.49,2986.78,3035.1,4255.86,3093.84,3198.76,3456.99,3541.1,3433.91,3736.42
VOESTALPINE,AT0000937503,1016.59,1065.95,951.64,905.7,949.99,1839.35,3386.67,4559.15,10726.69,10924.2,2602.37,5973.1,7645.07,6147.23,5736.37,7797.6,6775.71,4969.29,7350.9,10409.4,5495.96,4011.92,7117.36,5823.03,6391.7,4890.35
MAYR-MELNHOF KARTON,AT0000938204,571.63,648.5,587.74,688.3,920.47,1479.88,2060.76,1794.61,2456.85,2237.48,1423.29,2039.87,2304.44,1992.53,2286.2,2558.44,2129.39,2224.7,2214.22,3057.03,2703.3,2655.49,4389.21,3792.11,3255.13,2504.55
IMMOFINANZ,AT0000A21KS2,195.44,265.75,354.18,589.14,982.79,1590.67,2367.33,3437.97,7113.74,4685.96,462.39,1555.05,4512.7,4044.32,4727.23,5741.22,3307.55,2005.91,1911.64,2691.9,2851.76,3081.15,2485.82,3566.78,1790.64,3175.1
ADBRI DEAD - DELIST.02/07/24,AU000000ABC7,87.98,149.0,100.21,207.0,407.02,628.92,667.6,1010.05,1457.92,1746.23,633.06,1345.83,2116.89,2023.54,2375.68,2477.43,2120.49,2295.46,2679.59,3558.23,2310.54,1230.06,1641.21,1528.06,807.2,1315.93
ARISTOCRAT LEISURE,AU000000ALL7,647.86,1145.9,1372.98,1376.65,514.54,835.21,3972.33,4158.25,6511.33,4557.76,1111.85,2020.37,1747.2,1506.44,2100.3,2446.06,3625.69,4493.98,7783.6,12164.1,11475.9,14654.68,15008.91,18088.38,16256.88,18964.11
AMP,AU000000AMP6,12206.85,10069.74,11246.07,11111.05,5419.93,6793.99,10466.43,11598.4,15943.18,13940.71,6362.66,10897.01,11641.57,12807.93,15949.57,13093.86,15345.41,11373.86,11086.43,12034.37,4973.56,4155.22,3990.95,2265.85,2209.25,1989.73
ANSELL,AU000000ANN9,1789.54,1028.14,591.71,545.85,644.28,997.57,1267.76,1314.21,1389.44,1594.9,737.87,1354.49,1816.5,2025.86,2100.51,2521.66,2993.55,1866.28,2365.86,2861.08,2327.05,2556.44,3589.2,2354.0,2296.92,2003.39
ANZ GROUP HOLDINGS,AU000000ANZ3,10036.9,9844.95,12144.82,14192.97,15041.0,25078.45,30606.23,34766.15,43944.33,40831.96,18387.79,52488.47,63919.68,63687.61,78894.34,78888.79,76103.22,47133.84,69819.17,66120.76,56757.0,48455.5,57653.43,53038.9,50047.76,55797.63
