NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
SCHLUMBERGER,AN8068571086,11815553,8394947.0,9611462.0,13746000.0,13474000.0,13893000.0,11480000.0,14309000.0,19230000.0,23277000.0,27163000.0,22702000.0,27447000.0,39540000.0,42149000.0,46294000.0,48580000.0,35475000.0,27810000.0,30440000.0,32815000.0,32917000.0,23601000.0,22929000.0,28091000.0,33135000.0
ALUAR,ARALUA010258,502671,421108.0,513148.0,235519.0,527574.0,461716.0,541421.0,600645.0,748378.0,887087.0,1007316.0,825857.0,1062910.0,1208003.0,1012017.0,818255.0,1029573.0,652154.0,872808.0,911805.0,1280370.0,1166554.0,724900.0,1426679.0,790204.0,694285.0
BANCO BBVA ARGENTINA,ARP125991090,1369363,1526363.0,1733083.0,939606.0,2000113.0,791550.0,596058.0,773338.0,919714.0,974279.0,995195.0,1238962.0,1326367.0,1332220.0,1653798.0,1471351.0,2069731.0,1596171.0,2020419.0,1918308.0,1824705.0,2154693.0,1793160.0,2583910.0,3907934.0,4525326.0
TERNIUM ARGENTINA SOCIEDAD ANONIMA,ARSIDE010029,1231056,1015555.0,960376.0,313648.0,803575.0,923457.0,1255991.0,1434304.0,1637016.0,2021929.0,2309515.0,1659046.0,2377063.0,2800782.0,2470130.0,2031420.0,2478787.0,1640413.0,1783714.0,1947794.0,1946975.0,1763622.0,1498078.0,3098779.0,2643183.0,1184733.0
STRABAG SE,AT000000STR1,,,,,,5761485.0,6701638.0,8313667.0,12275937.0,14327600.0,15716097.0,17159666.0,16768281.0,18159880.0,17383923.0,16990473.0,14153527.0,14624782.0,13253295.0,16607143.0,17285776.0,17179157.0,17737447.0,17510122.0,18204892.0,19004987.0
FLUGHAFEN WIEN,AT00000VIE62,357249,305807.0,305384.0,278328.0,344581.0,442898.0,511025.0,490443.0,603848.0,756257.0,704407.0,685854.0,722971.0,770683.0,813241.0,847087.0,714907.0,729250.0,792599.0,925938.0,908088.0,940299.0,401262.0,465858.0,740695.0,1002124.0
RAIFFEISEN BANK INTL.,AT0000606306,,,,,1401165.0,2187083.0,3063455.0,3625903.0,6233959.0,9266907.0,10910965.0,10284420.0,12976076.0,12973198.0,13051256.0,11542265.0,8685177.0,7787607.0,6886678.0,8719097.0,8551016.0,8547916.0,8686445.0,8710116.0,13677850.0,16046061.0
ERSTE GROUP BANK,AT0000652011,3798881,3234567.0,3968691.0,4630331.0,7729897.0,8544454.0,9123401.0,9316336.0,14587097.0,20437563.0,18707585.0,18138330.0,16106386.0,15793654.0,16425993.0,13896123.0,10404581.0,10405710.0,9414287.0,10521777.0,11062628.0,11061612.0,11212186.0,11127545.0,15186926.0,24866232.0
TELEKOM AUSTRIA,AT0000720008,3821392,3641376.0,2624838.0,2312566.0,3374304.0,5046696.0,5204697.0,5217405.0,6195569.0,7134305.0,6645289.0,6564762.0,6298624.0,5898836.0,5797264.0,5698080.0,4558340.0,4487217.0,4408514.0,5261344.0,4932388.0,4900212.0,5368088.0,5340506.0,5256454.0,5550113.0
ANDRITZ,AT0000730007,751625,641429.0,1036539.0,1146606.0,1201338.0,1557315.0,1900753.0,2084806.0,3527226.0,4760814.0,4639606.0,4371306.0,4812884.0,6086034.0,6931593.0,7777447.0,6647282.0,7106765.0,6454299.0,7239784.0,6849266.0,7317316.0,8056650.0,7397304.0,8065248.0,9316096.0
OMV,AT0000743059,5327857,5066432.0,6952384.0,6726760.0,7661181.0,9718275.0,12677565.0,18621074.0,24693925.0,29068317.0,32829300.0,24494588.0,31586869.0,45093389.0,57105264.0,57764169.0,40742941.0,25104056.0,20584588.0,24860203.0,26039102.0,25722839.0,19902363.0,40694899.0,66612153.0,42452784.0
