NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
SCHLUMBERGER,AN8068571086,1418.81,1846.85,2433.82,1653.29,1187.35,1968.79,2269.48,3864.68,4273.56,5066.98,3065.02,4265.96,6259.32,5608.79,5588.68,6513.27,6375.16,5216.17,6306.13,5624.83,3599.17,3011.71,2263.32,3707.66,5060.58,4546.27
ALUAR,ARALUA010258,1198.09,1842.86,1695.62,1426.58,1459.77,2256.71,2456.76,2318.86,2948.09,3917.17,1558.77,2301.47,3791.14,2322.99,1872.51,1846.85,3625.67,2545.06,2607.9,3595.93,2312.19,2661.98,2805.86,4697.0,5979.86,6663.84
BANCO BBVA ARGENTINA,ARP125991090,295.67,405.01,552.04,78.22,87.62,141.1,153.03,151.89,244.59,161.81,63.36,149.99,318.93,210.07,225.06,260.78,652.26,635.32,623.36,755.21,438.3,239.96,179.86,236.18,323.29,313.22
TERNIUM ARGENTINA SOCIEDAD ANONIMA,ARSIDE010029,65.06,185.42,127.02,67.12,90.53,220.48,309.06,429.04,333.59,397.88,165.27,293.22,421.58,365.78,285.9,387.58,714.57,500.47,656.14,821.67,417.07,421.93,601.03,1314.8,1680.35,1306.56
STRABAG SE,AT000000STR1,,,,,,,,,,112.48,35.42,57.0,64.62,67.65,59.5,65.91,53.67,60.02,92.4,103.65,91.91,91.43,98.9,148.84,147.34,173.53
FLUGHAFEN WIEN,AT00000VIE62,192.46,153.11,167.07,139.46,180.1,290.24,415.53,445.04,570.62,646.12,249.29,319.01,484.23,291.73,474.82,711.74,709.96,760.21,962.07,1536.39,1452.17,1456.81,1281.82,1194.76,1324.44,2023.01
RAIFFEISEN BANK INTL.,AT0000606306,,,,,,,,184.61,378.42,292.59,47.44,118.63,156.15,102.22,112.37,122.61,39.82,39.67,70.42,138.08,82.03,83.06,69.21,108.36,61.58,78.47
ERSTE GROUP BANK,AT0000652011,106.37,97.02,125.72,133.71,176.33,349.21,512.99,604.29,840.99,546.35,154.88,424.12,631.79,319.73,378.2,496.07,303.2,369.42,408.82,693.58,504.05,572.78,477.99,762.77,614.12,724.25
TELEKOM AUSTRIA,AT0000720008,,,67.36,95.55,130.94,176.51,238.61,304.75,351.73,360.42,195.34,199.61,230.31,209.18,127.04,165.66,134.59,112.9,127.76,205.41,161.82,184.78,181.2,221.82,179.9,270.3
ANDRITZ,AT0000730007,,,,83.22,112.72,253.27,446.73,629.53,1208.91,1004.96,741.46,1311.97,2075.76,2426.05,3366.5,2979.55,2971.59,2534.8,2994.18,3306.47,2954.29,2428.96,3093.92,3485.3,4028.99,4242.91
OMV,AT0000743059,345.83,377.18,329.43,372.04,470.43,759.75,1469.7,3350.46,2720.73,3497.12,1487.18,2092.06,2521.66,2116.21,2487.91,2801.13,1756.07,1835.98,2543.55,4457.25,3985.16,3860.26,3677.49,5582.16,4374.35,4465.06
VERBUND,AT0000746409,759.15,424.25,539.87,382.06,443.6,671.16,1146.54,2192.54,2608.95,3336.6,2123.27,2240.03,2368.32,1799.83,1376.58,1425.8,1243.32,859.49,1143.83,1931.69,3795.81,3879.51,7575.6,8469.45,6626.92,6273.55
WIENERBERGER,AT0000831706,2870.68,2203.88,2482.88,1928.03,2225.28,4376.13,6708.36,6201.31,9333.26,6581.92,2094.76,2990.0,3869.1,2177.33,1815.21,2964.06,2639.34,2962.02,3584.22,4695.26,4420.6,5867.57,7140.34,7392.52,6338.16,7569.19
VIENNA INSURANCE GROUP A,AT0000908504,172.4,162.44,159.89,150.87,189.84,294.12,499.97,716.63,852.26,931.74,351.87,578.92,755.18,625.81,708.54,706.11,645.64,383.87,390.53,559.55,411.49,490.57,501.06,589.08,551.82,609.1
VOESTALPINE,AT0000937503,143.6,146.2,140.73,143.17,129.16,270.5,438.5,690.28,1447.81,1449.54,615.19,952.13,1359.15,1077.96,1079.51,1413.52,1195.94,907.11,1484.44,2159.58,1056.38,968.44,1461.01,1344.82,1397.1,1223.0
MAYR-MELNHOF KARTON,AT0000938204,104.37,101.34,99.42,120.52,187.57,292.57,408.32,375.37,476.99,492.32,358.48,497.9,641.88,545.35,657.68,726.12,664.03,746.58,755.22,1035.69,903.95,987.28,1428.83,1442.64,1283.25,1016.76
IMMOFINANZ,AT0000A21KS2,137.45,131.51,138.94,140.33,188.48,241.16,275.22,307.52,475.72,289.62,35.03,98.36,138.65,118.13,152.83,171.67,113.81,93.06,85.7,116.31,130.18,144.1,107.02,141.17,68.52,124.9
ADBRI DEAD - DELIST.02/07/24,AU000000ABC7,623.94,501.02,252.7,429.07,900.54,1536.28,2005.33,2227.64,3224.44,4760.48,1760.1,3785.98,6380.53,6404.62,7085.23,7450.57,6802.65,7745.25,9549.36,12585.71,8853.31,6527.42,6918.49,6302.92,3945.15,6561.45
